Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Season,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Winner
2021-02-25,Valencia,Zenit,91.0,62.0,2020-21,,,,,,,,,,,,,Home
2021-02-26,Red Star Belgrade,Baskonia,67.0,87.0,2020-21,,,,,,,,,,,,,Away
2021-02-26,Efes,Fenerbahce,106.0,74.0,2020-21,,,,,,,,,,,,,Home
2021-02-26,Panathinaikos,ALBA Berlin,65.0,74.0,2020-21,,,,,,,,,,,,,Away
2021-02-26,ASVEL,Barcelona,76.0,69.0,2020-21,,,,,,,,,,,,,Home
2021-03-02,ALBA Berlin,Zenit,71.0,87.0,2020-21,,,,,,,,,,,,,Away
2021-03-02,Bayern Munich,Red Star Belgrade,78.0,76.0,2020-21,,,,,,,,,,,,,Home
2021-03-02,Barcelona,Panathinaikos,85.0,77.0,2020-21,,,,,,,,,,,,,Home
2021-03-02,ASVEL,Zalgiris,75.0,85.0,2020-21,,,,,,,,,,,,,Away
2021-03-02,Real Madrid,Khimki,77.0,78.0,2020-21,,,,,,,,,,,,,Away
2021-03-02,Valencia,Efes,83.0,99.0,2020-21,,,,,,,,,,,,,Away
2021-03-02,CSKA Moscow,Maccabi Tel Aviv,84.0,80.0,2020-21,,,,,,,,,,,,,Home
2021-03-03,Fenerbahce,Olimpia Milano,100.0,92.0,2020-21,,,,,,,,,,,,,Home
2021-03-03,Olympiacos,Baskonia,66.0,91.0,2020-21,,,,,,,,,,,,,Away
2021-03-04,CSKA Moscow,Efes,70.0,100.0,2020-21,,,,,,,,,,,,,Away
2021-03-04,Panathinaikos,Bayern Munich,71.0,76.0,2020-21,,,,,,,,,,,,,Away
2021-03-04,Valencia,Maccabi Tel Aviv,72.0,84.0,2020-21,,,,,,,,,,,,,Away
2021-03-04,Real Madrid,Zenit,75.0,71.0,2020-21,,,,,,,,,,,,,Home
2021-03-05,Olimpia Milano,Zalgiris,69.0,64.0,2020-21,,,,,,,,,,,,,Home
2021-03-05,Red Star Belgrade,Olympiacos,79.0,94.0,2020-21,,,,,,,,,,,,,Away
2021-03-05,Fenerbahce,ASVEL,90.0,86.0,2020-21,,,,,,,,,,,,,Home
2021-03-05,ALBA Berlin,Khimki,100.0,81.0,2020-21,,,,,,,,,,,,,Home
2021-03-05,Baskonia,Barcelona,57.0,71.0,2020-21,,,,,,,,,,,,,Away
2021-03-11,Olimpia Milano,CSKA Moscow,84.0,76.0,2020-21,,,,,,,,,,,,,Home
2021-03-11,Maccabi Tel Aviv,Panathinaikos,63.0,81.0,2020-21,,,,,,,,,,,,,Away
2021-03-11,Barcelona,Real Madrid,81.0,76.0,2020-21,,,,,,,,,,,,,Home
2021-03-11,Khimki,Red Star Belgrade,81.0,92.0,2020-21,,,,,,,,,,,,,Away
2021-03-11,ALBA Berlin,ASVEL,95.0,89.0,2020-21,,,,,,,,,,,,,Home
2021-03-12,Zalgiris,Efes,62.0,89.0,2020-21,,,,,,,,,,,,,Away
2021-03-12,Zenit,Olympiacos,61.0,75.0,2020-21,,,,,,,,,,,,,Away
2021-03-12,Fenerbahce,Valencia,52.0,66.0,2020-21,,,,,,,,,,,,,Away
2021-03-12,Bayern Munich,Baskonia,71.0,78.0,2020-21,,,,,,,,,,,,,Away
2021-03-16,Efes,Maccabi Tel Aviv,90.0,66.0,2020-21,,,,,,,,,,,,,Home
